source_name,source_domain
pr newswire,prnewswire.com
business wire,businesswire.com
globenewswire,globenewswire.com
yahoo finance,finance.yahoo.com
marketwatch,marketwatch.com
reuters,reuters.com
associated press,apnews.com
benzinga,benzinga.com
seeking alpha,seekingalpha.com
investopedia,investopedia.com
morningstar,morningstar.com
nasdaq,nasdaq.com
sec filings,sec.gov
financial times, ft.com
bloomberg, bloomberg.com
wall st journal, wsj.com
fortune, fortune.com
economist, economist.com
barron's, barrons.com
reuters, reuters.com
